,Period,INDPRO
0,1990-01,61.6352
1,1990-02,62.1951
2,1990-03,62.4916
3,1990-04,62.3511
4,1990-05,62.5353
5,1990-06,62.7479
6,1990-07,62.6435
7,1990-08,62.8704
8,1990-09,62.8839
9,1990-10,62.4973
10,1990-11,61.7175
11,1990-12,61.2885
12,1991-01,61.0842
13,1991-02,60.6387
14,1991-03,60.2973
15,1991-04,60.4524
16,1991-05,61.0587
17,1991-06,61.5514
18,1991-07,61.7201
19,1991-08,61.7289
20,1991-09,62.2369
21,1991-10,62.1718
22,1991-11,62.0894
23,1991-12,61.806
24,1992-01,61.4823
25,1992-02,61.9192
26,1992-03,62.4403
27,1992-04,62.9199
28,1992-05,63.1268
29,1992-06,63.1624
30,1992-07,63.7348
31,1992-08,63.3802
32,1992-09,63.5834
33,1992-10,64.0178
34,1992-11,64.2628
35,1992-12,64.3599
36,1993-01,64.6135
37,1993-02,64.9262
38,1993-03,64.8627
39,1993-04,65.0423
40,1993-05,64.8006
41,1993-06,64.9476
42,1993-07,65.1142
43,1993-08,65.0421
44,1993-09,65.3749
45,1993-10,65.863
46,1993-11,66.1696
47,1993-12,66.5531
48,1994-01,66.7591
49,1994-02,66.8019
50,1994-03,67.4704
51,1994-04,67.8707
52,1994-05,68.187
53,1994-06,68.645
54,1994-07,68.7317
55,1994-08,69.1882
56,1994-09,69.3935
57,1994-10,69.9576
58,1994-11,70.4288
59,1994-12,71.1273
60,1995-01,71.2635
61,1995-02,71.1758
62,1995-03,71.2796
63,1995-04,71.1538
64,1995-05,71.4997
65,1995-06,71.7327
66,1995-07,71.4334
67,1995-08,72.3723
68,1995-09,72.6543
69,1995-10,72.5336
70,1995-11,72.717
71,1995-12,72.9638
72,1996-01,72.5712
73,1996-02,73.6207
74,1996-03,73.5141
75,1996-04,74.2491
76,1996-05,74.8142
77,1996-06,75.3726
78,1996-07,75.3738
79,1996-08,75.7557
80,1996-09,76.2302
81,1996-10,76.2157
82,1996-11,76.8973
83,1996-12,77.3772
84,1997-01,77.5135
85,1997-02,78.4255
86,1997-03,78.9197
87,1997-04,78.9848
88,1997-05,79.4296
89,1997-06,79.7971
90,1997-07,80.4666
91,1997-08,81.2825
92,1997-09,82.0327
93,1997-10,82.7656
94,1997-11,83.427
95,1997-12,83.784
96,1998-01,84.1564
97,1998-02,84.3066
98,1998-03,84.342
99,1998-04,84.6339
100,1998-05,85.1867
101,1998-06,84.6809
102,1998-07,84.3445
103,1998-08,86.0816
104,1998-09,86.0023
105,1998-10,86.591
106,1998-11,86.5115
107,1998-12,86.8615
108,1999-01,87.2205
109,1999-02,87.726
110,1999-03,87.9125
111,1999-04,88.1082
112,1999-05,88.6483
113,1999-06,88.5903
114,1999-07,89.1098
115,1999-08,89.5007
116,1999-09,89.1304
117,1999-10,90.2709
118,1999-11,90.7528
119,1999-12,91.4784
120,2000-01,91.4092
121,2000-02,91.7245
122,2000-03,92.083
123,2000-04,92.6659
124,2000-05,92.9347
125,2000-06,93.0018
126,2000-07,92.8373
127,2000-08,92.591
128,2000-09,92.9827
129,2000-10,92.64
130,2000-11,92.6604
131,2000-12,92.3457
132,2001-01,91.8908
133,2001-02,91.2851
134,2001-03,91.0585
135,2001-04,90.7384
136,2001-05,90.2607
137,2001-06,89.7811
138,2001-07,89.2352
139,2001-08,89.157
140,2001-09,88.6749
141,2001-10,88.4051
142,2001-11,87.886
143,2001-12,87.8518
144,2002-01,88.4634
145,2002-02,88.4578
146,2002-03,89.1265
147,2002-04,89.5507
148,2002-05,89.9348
149,2002-06,90.6736
150,2002-07,90.6436
151,2002-08,90.5505
152,2002-09,90.6373
153,2002-10,90.3988
154,2002-11,90.8947
155,2002-12,90.3906
156,2003-01,91.1369
157,2003-02,91.2505
158,2003-03,91.0006
159,2003-04,90.4311
160,2003-05,90.4
161,2003-06,90.5196
162,2003-07,90.9869
163,2003-08,90.7933
164,2003-09,91.3819
165,2003-10,91.5049
166,2003-11,92.1265
167,2003-12,92.1732
168,2004-01,92.3268
169,2004-02,92.8995
170,2004-03,92.5368
171,2004-04,92.8957
172,2004-05,93.5845
173,2004-06,92.8651
174,2004-07,93.5502
175,2004-08,93.6301
176,2004-09,93.7353
177,2004-10,94.5695
178,2004-11,94.8015
179,2004-12,95.5415
180,2005-01,95.8785
181,2005-02,96.5709
182,2005-03,96.4345
183,2005-04,96.6347
184,2005-05,96.7251
185,2005-06,97.1483
186,2005-07,96.8397
187,2005-08,97.1584
188,2005-09,95.2764
189,2005-10,96.4411
190,2005-11,97.5016
191,2005-12,97.9723
192,2006-01,98.127
193,2006-02,98.1687
194,2006-03,98.3913
195,2006-04,98.6826
196,2006-05,98.7074
197,2006-06,99.0398
198,2006-07,98.9751
199,2006-08,99.4047
200,2006-09,99.2246
201,2006-10,99.1229
202,2006-11,99.0963
203,2006-12,100.1125
204,2007-01,99.7546
205,2007-02,100.7166
206,2007-03,100.8952
207,2007-04,101.5723
208,2007-05,101.6269
209,2007-06,101.6547
210,2007-07,101.4953
211,2007-08,101.6943
212,2007-09,101.9428
213,2007-10,101.6446
214,2007-11,102.2167
215,2007-12,102.2764
216,2008-01,102.1493
217,2008-02,101.7756
218,2008-03,101.4508
219,2008-04,100.7554
220,2008-05,100.1336
221,2008-06,99.8728
222,2008-07,99.4194
223,2008-08,97.8491
224,2008-09,93.5576
225,2008-10,94.4985
226,2008-11,93.2617
227,2008-12,90.6266
228,2009-01,88.3712
229,2009-02,87.843
230,2009-03,86.4689
231,2009-04,85.7903
232,2009-05,84.9436
233,2009-06,84.6746
234,2009-07,85.6853
235,2009-08,86.6393
236,2009-09,87.3821
237,2009-10,87.5809
238,2009-11,87.9388
239,2009-12,88.2404
240,2010-01,89.1897
241,2010-02,89.5046
242,2010-03,90.1356
243,2010-04,90.4607
244,2010-05,91.7014
245,2010-06,91.9033
246,2010-07,92.2549
247,2010-08,92.5936
248,2010-09,92.8533
249,2010-10,92.6033
250,2010-11,92.6686
251,2010-12,93.5916
252,2011-01,93.3889
253,2011-02,93.0045
254,2011-03,93.9684
255,2011-04,93.6571
256,2011-05,93.7723
257,2011-06,94.0493
258,2011-07,94.4958
259,2011-08,95.0974
260,2011-09,95.0244
261,2011-10,95.6891
262,2011-11,95.6778
263,2011-12,96.1809
264,2012-01,96.7595
265,2012-02,97.0662
266,2012-03,96.5609
267,2012-04,97.251
268,2012-05,97.4595
269,2012-06,97.4768
270,2012-07,97.6714
271,2012-08,97.2734
272,2012-09,97.2217
